Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","5637","687452","BLCA","urogenital_system","bladder","-2.6318166773680565",".833969234599372",".10000000000000001",".076175575073711102","-.20355449206668685","GDSC2"
"Camptothecin","1003","RT4","687455","BLCA","urogenital_system","bladder","-2.9628750472834806",".82137161366955036",".10000000000000001",".094514883474305159","-.38357575568717933","GDSC2"
"Camptothecin","1003","SW780","687457","BLCA","urogenital_system","bladder","-1.4470510429979921",".9049605435351048",".10000000000000001",".074127061973444874",".44069143546543094","GDSC2"
"Camptothecin","1003","TCCSUP","687459","BLCA","urogenital_system","bladder","-2.3491996493408269",".84329108665867591",".10000000000000001",".074827574258555615","-.04987441891485072","GDSC2"
"Camptothecin","1003","T24","724812","BLCA","urogenital_system","bladder","-2.7168116122796695",".82974353891971409",".10000000000000001",".085543142636624325","-.24977261241820983","GDSC2"
"Camptothecin","1003","UM-UC-3","724838","BLCA","urogenital_system","bladder","-3.7314998166065703",".73993333917463522",".10000000000000001",".10262229416159752","-.80153468618907664","GDSC2"
"Camptothecin","1003","DSH1","753552","BLCA","urogenital_system","bladder","-2.9352722603250898",".80448669051365307",".10000000000000001",".13459105776136707","-.36856605033230122","GDSC2"
"Camptothecin","1003","J82","753566","BLCA","urogenital_system","bladder","-3.0441215582459429",".79007992138109917",".10000000000000001",".12379514455552276","-.42775557682251325","GDSC2"
"Camptothecin","1003","LB831-BLC","753584","BLCA","urogenital_system","bladder","-2.7972937866850835",".82466009394967088",".10000000000000001",".075813417999600369","-.29353680644565244","GDSC2"
"Camptothecin","1003","647-V","906797","BLCA","urogenital_system","bladder","-4.5780028149116827",".65132486617957119",".10000000000000001",".11100448471095448","-1.2618418503074551","GDSC2"
"Camptothecin","1003","639-V","906798","BLCA","urogenital_system","bladder","-5.1437923346417245",".57907416045827409",".10000000000000001",".17661901152259091","-1.5695040438688337","GDSC2"
"Camptothecin","1003","HT-1197","907065","BLCA","urogenital_system","bladder","-1.330791516887605",".90170925442137007",".10000000000000001",".091681327139792976",".50391045875627338","GDSC2"
"Camptothecin","1003","HT-1376","907066","BLCA","urogenital_system","bladder","2.0514742445580292",".9849550788225041",".10000000000000001",".061002487429720739","2.3431020080631875","GDSC2"
"Camptothecin","1003","KU-19-19","907312","BLCA","urogenital_system","bladder","-3.4169112802517927",".78271646375058768",".10000000000000001",".067692836724687025","-.6304693062393828","GDSC2"
"Camptothecin","1003","RT-112","909704","BLCA","urogenital_system","bladder","-.12337914374163604",".96814402141409261",".10000000000000001",".067331396900179113","1.1604711165649981","GDSC2"
"Camptothecin","1003","SW1710","909749","BLCA","urogenital_system","bladder",".17216929598264322",".95859273091561048",".10000000000000001",".059239861336883741","1.3211829680545768","GDSC2"
"Camptothecin","1003","BFTC-905","910926","BLCA","urogenital_system","bladder","-4.2081103613284521",".69506963123386833",".10000000000000001",".12780132135198438","-1.0607035830141405","GDSC2"
"Camptothecin","1003","CAL-29","1290730","BLCA","urogenital_system","bladder","-3.787216236757406",".74042944057725513",".10000000000000001",".11641244972773339","-.83183188230747152","GDSC2"
"Vinblastine","1004","RT4","687455","BLCA","urogenital_system","bladder","-4.0268742508010824",".71232139165440844",".10000000000000001",".12222929912358167","-.2448574000016972","GDSC2"
"Vinblastine","1004","SW780","687457","BLCA","urogenital_system","bladder","-2.6626163171690447",".82564089302219501",".10000000000000001",".082867629221589176",".38159615880902387","GDSC2"
"Vinblastine","1004","TCCSUP","687459","BLCA","urogenital_system","bladder","-1.4229609113107287",".9002629869526636",".10000000000000001",".12265189072593116",".95083348670302359","GDSC2"
"Vinblastine","1004","UM-UC-3","724838","BLCA","urogenital_system","bladder","-4.0986393937975638",".69991619634451252",".10000000000000001",".074646144982533677","-.27781123381889661","GDSC2"
"Vinblastine","1004","DSH1","753552","BLCA","urogenital_system","bladder","-2.9186715545153703",".8059060074009643",".10000000000000001",".092163422103683904",".26401816220490532","GDSC2"
"Vinblastine","1004","J82","753566","BLCA","urogenital_system","bladder","1.6790351265676406",".98427532876482715",".10000000000000001",".047406332387732862","2.3752389524437771","GDSC2"
"Vinblastine","1004","LB831-BLC","753584","BLCA","urogenital_system","bladder","-2.7072415459298989",".83211459264257492",".10000000000000001",".077636363165116282",".36110470137944978","GDSC2"
"Vinblastine","1004","647-V","906797","BLCA","urogenital_system","bladder","-1.9456538219696418",".9072514238428101",".10000000000000001",".059544167002209006",".71081814504716423","GDSC2"
"Vinblastine","1004","639-V","906798","BLCA","urogenital_system","bladder","-3.9864078510888388",".72084901068059271",".10000000000000001",".14882032790960301","-.22627563515573257","GDSC2"
"Vinblastine","1004","HT-1197","907065","BLCA","urogenital_system","bladder","-1.6304414145279704",".88583043376527526",".10000000000000001",".091241437496232466",".85556052077769795","GDSC2"
"Vinblastine","1004","HT-1376","907066","BLCA","urogenital_system","bladder",".14712914243542066",".95433787998412867",".10000000000000001",".081599963750170063","1.6718030904523695","GDSC2"
"Vinblastine","1004","KU-19-19","907312","BLCA","urogenital_system","bladder","-4.3617298747508118",".67650360297385637",".10000000000000001",".11183343481971575","-.39861974371966397","GDSC2"
"Vinblastine","1004","RT-112","909704","BLCA","urogenital_system","bladder","-5.7139011870735201",".50532648522830859",".10000000000000001",".17435553024776654","-1.0195232472610938","GDSC2"
"Vinblastine","1004","SW1710","909749","BLCA","urogenital_system","bladder","-4.7201850638518632",".61892377208064686",".10000000000000001",".11841516228026197","-.56321877103753615","GDSC2"
